|normal|no_clean
0|In the weekly address, President Obama discusses what #Obamacare has done to improve health care. http:// ofa.bo/2ebbyAo|5.68
1|Let's keep working to keep our economy on a better, stronger course. pic.twitter.com/bV2BVjyj7a|5.626666666666667
2|The landmark #ParisAgreement enters into force today we must keep up the momentum to #ActOnClimate . http:// ofa.bo/2fn8oHC|5.331111111111111
3|The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. http:// ofa.bo/2e8XF5N #JobsReport|5.3883333333333345
4|There are a lot of plans out there. Check your options and lock in the one that's best for you: http:// ofa.bo/2eZtYDp #GetCovered|5.446250000000001
5|The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: http:// ofa.bo/2feEipF|5.503333333333334
6|Tens of millions of Americans have benefited from #Obamacare . Make sure you're one of them. #GetCovered pic.twitter.com/e1KoXcPtpU|5.566666666666666
7|Thanks to #Obamacare , quality health care is available to everyone. The marketplace is now open make sure you and your family #GetCovered . pic.twitter.com/0DDAhckcDW|6.061428571428571
8|Community organizing never goes out of style. Shop now: http:// ofa.bo/2feFszZ pic.twitter.com/E56ofoU36i|4.54
9|With #Obamacare , people can focus on treatment for pre-existing conditions without the fear of coverage being capped or denied. #GetCovered pic.twitter.com/QqCs6K3y2v|5.010000000000001
10|The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered . http:// ofa.bo/2f9F877 pic.twitter.com/uiA1EGZylU|5.518461538461538
11|Lions and Tiggers and bears! Oh my! #HappyHalloween pic.twitter.com/iU4fjBhi0Y|5.22
12|Usted y su familia merecen la tranquilidad de saber que est n cubiertos. El mercado de seguros abre ma ana. pic.twitter.com/9iRCkLRGZD|4.785714285714286
13|Speak up in support of quality, affordable health care for all. http:// ofa.bo/2f5XyoV|6.014285714285714
14|There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less than $75 a month. pic.twitter.com/YixI8RXOdq|5.076470588235294
15|Open enrollment begins tomorrow make sure you and your loved ones #GetCovered . pic.twitter.com/2aak7Bt0s3|6.062857142857142
16|Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: http:// ofa.bo/2dP8GJo #DoYourJob|5.568
17|Senate leaders should put the common good above politics the integrity of our nation's highest court depends on it. #DoYourJob pic.twitter.com/Ie5vbg4f5D|5.585333333333334
18|Don't ghost on your health and well-being your chance to #GetCovered is coming up. Open enrollment starts November 1. pic.twitter.com/J86AESUreZ|5.563999999999999
19|Climate change is happening now. Denial is dangerous. http:// ofa.bo/2efZv0y|5.409999999999999
20|If you're willing to work hard and play by the rules, you should be able to get ahead. pic.twitter.com/394hdJttgO|5.538666666666668
21|President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. http://www. snappytv.com/tc/3055958|5.448571428571428
22|New report: Renewable energy installations are beating fossil fuel installations for the first time. http:// ofa.bo/2eUzF3x #ActOnClimate|5.337142857142857
23|Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: http:// ofa.bo/2dLT09T|5.901538461538461
